user_id,cheese_id,buy_count,total_price
2335100,p22,1,11900
2335100,p5,1,6800
5385072,p22,1,11900
5385072,p22,1,11900
3725304,p22,1,11900
6491007,p22,1,11900
5181261,p22,1,11900
5188441,p22,1,11900
1938002,p22,1,11900
1938002,p5,1,6800
1938002,p5,1,6800
408429,p22,1,11900
876827,p30,1,6900
876827,p30,1,6900
2356747,p30,1,6900
2356747,p30,1,6900
2356747,p28,1,15900
2356747,p11,1,5500
2356747,p5,1,6800
2356747,p28,1,15900
1592091,p5,1,6800
1592091,p8,1,4600
1461569,p22,1,11900
2769897,p22,1,11900
3497202,p7,1,7900
326722,p20,3,12495
326722,p20,3,12495
4328672,p20,3,12495
4328672,p20,3,12495
4328672,p20,3,12495
4328672,p20,2,8330
4328672,p20,3,12495
4328672,p20,3,12495
4328672,p20,3,12495
637820,p20,6,24990
637820,p20,6,24990
637820,p20,6,24990
637820,p20,7,29155
637820,p20,6,24990
637820,p20,7,29155
637820,p20,7,29155
637820,p20,7,29155
637820,p20,6,24990
6510366,p20,1,4165
85181,p20,3,12495
85181,p20,3,12495
4556260,p20,1,4165
5772589,p20,4,16660
3557586,p20,1,4165
3235405,p20,1,4165
4135146,p20,1,4165
4135146,p20,1,4165
4135146,p20,1,4165
4135146,p20,1,4165
4135146,p20,5,20825
4135146,p20,2,8330
4135146,p20,1,4165
4135146,p21,3,47700
3618819,p20,1,4165
3618819,p20,1,4165
4335375,p20,1,4165
3717363,p20,1,4165
3717363,p20,6,24990
1618727,p20,1,4165
1618727,p41,1,6400
5696651,p20,1,4165
2101662,p20,1,4165
2101662,p20,1,4165
2101662,p20,1,4165
5552318,p20,1,4165
5552318,p20,1,4165
5552318,p20,1,4165
6566995,p20,2,8330
6566995,p20,1,4165
5541904,p20,1,4165
5541904,p20,1,4165
5541904,p20,1,4165
5541904,p20,1,4165
2386246,p20,1,4165
2386246,p41,1,6400
2386246,p41,1,6400
2343245,p20,1,4165
2343245,p5,1,6800
2343245,p5,1,6800
4522264,p20,1,4165
5437378,p20,3,12495
5437378,p20,3,12495
5437378,p39,1,5900
5437378,p39,1,5900
5437378,p39,1,5900
3476070,p20,1,4165
3476070,p20,1,4165
3476070,p9,1,4600
266499,p20,1,4165
266499,p20,1,4165
266499,p11,1,5500
5368209,p20,1,4165
3028455,p20,1,4165
3028455,p20,2,8330
3938146,p20,2,8330
4873563,p20,3,12495
1954590,p20,1,4165
3018806,p20,1,4165
1966203,p20,1,4165
5229860,p20,20,83300
1886451,p20,2,8330
1886451,p20,2,8330
2518252,p20,1,4165
6063954,p20,1,4165
6063954,p20,1,4165
6063954,p20,1,4165
6063954,p20,1,4165
6063954,p20,1,4165
6063954,p20,1,4165
