['[콜롬보] 리코타'],['음 '],"
다른거에 비해 맛이 그냥 그래요.
",['2020-11-04'],['5']
['[콜롬보] 리코타'],['괜찮아요~ '],"
코코에서 리코타 샀다가 원하는맛이 아니라 다 버렸는데..
요건 그래도 조금 나은듯해여~마마스만큼 꾸덕하고 진한맛은 아니고 부드럽고 가벼운 느낌이네요~
",['2020-11-04'],['10']
['[콜롬보] 리코타'],['맛있어요! '],"
생각보다 밍밍하지만 맛있어요
샐러드랑 같이 먹는 거 추천해요
",['2020-11-04'],['2']
['[콜롬보] 리코타'],['샐러드 '],"
샐러드에 넣어 먹었는데 맛있었어요
",['2020-11-04'],['8']
['[콜롬보] 리코타'],['맛있어용 '],"
그냥 먹어도 맛있지만 샐러드랑 샌드위치에 넣어먹으니깐 맛있어요
",['2020-11-04'],['5']
['[콜롬보] 리코타'],['좋아요 '],"
콜롬보 리코타 좋아요
",['2020-11-04'],['4']
['[콜롬보] 리코타'],['제스탈은 아니네요 '],"
맛잇 괜찮은데 너무 흐물거려요 더 단단하 리코타가 제 취향이네요
",['2020-11-04'],['5']
['[콜롬보] 리코타'],['맛있어요 '],"
안녕하세요, 고객님. 마켓컬리 입니다.
우선, 즐거운 마음으로 구매하여 주신 [[콜롬보] 리코타 *1] 상품이나 이렇게 식감면에 있어 아쉬움을 드리게 되어 죄송합니다. 컬리를 믿고 이용하여 주셨는데 고객님의 기대에 부응하지 못하게 되어 저희의 마음도 너무나 무겁습니다. 
컬리에서는 지속적인 상품의 품질관리와 자체적인 판매기준 수립을 통해 고객님께 안전하고 신선한 먹거리와 고객님의 일상을 더욱 풍족하게 해드릴 수 있는 상품을 제공하고자 최선을 다하고 있습니다. 
또한 다양한 채널로 남겨주신 목소리들을 지속적으로 모니터링 하고 있으며, 상품의 품질을 비롯해 배송, 서비스 등에 대해서 아쉬운 부분들을 찾아 개선하고자 노력하고 있습니다. 소중한 의견 감사드리며 다시 한 번 고객님께 불편을 드린 점 사과의 말씀 드립니다. 
추후에는 더욱 더 좋은 상품과 서비스로 찾아뵐 것을 약속드리며 고객님의 말씀 귀기울여 보다 나은 상품과 즐거운 쇼핑이 되실 수 있도록 노력하는 컬리가 되겠습니다.
감사합니다. 마켓컬리 드림.
",['2020-11-05'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['아직 '],"
안먹어봤지만 ㅎㅎ 샌드위치 해먹으려고 샀어요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['맛있어요 '],"
빵이랑 같이 먹기 좋아요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['덴마크 까망베르 '],"
까망베르치즈는 부드러운 맛으로 먹지요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['좋아요 '],"
아직먹진못했는데 기대되요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['괜찮아요 '],"
많이 부드러운 편은 아니지만 맛은 괜찮아요
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['무난히 '],"
후기가 좋아서 구입했어요. 꼬리한 치즈향이 강하지 않아서 치즈초심자인 저에게도 거부감이 적네요.무난한 맛이에요. 반은 크림파스타할때 넣었고, 나머지는 샐러드로 먹으려구요.
",['2020-11-04'],['1']
['[카스텔로] 덴마크 까망베르 치즈'],['크로아상 샌드위치에 '],"
까망베르치즈,사과,루꼴라,견과류 넣고 메이플시럽 쭈~욱 뿌려 맛나게 크로아상샌드위치 해서 먹었는데 너무 맛있어요
당분간 매일 해먹게 될 것 같아요 치즈 세일할때 좀 쟁여둬야겠네요^^
",['2020-11-04'],['1']
['[카스텔로] 덴마크 까망베르 치즈'],['치즈 마니아 '],"
이것저것 도전해보는중이에요.
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['까망베르 '],"
와인 안주로 좋아요~
",['2020-11-04'],['1']
['[카스텔로] 덴마크 까망베르 치즈'],['덴마크 치즈 '],"
치즈는 썩 맛있진 않네요. 와인이랑 먹을려고 구입했습니다.
",['2020-11-04'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['좋아요 '],"
맛있어요 오븐에 데워먹었어요
",['2020-11-03'],['1']
['[카스텔로] 덴마크 까망베르 치즈'],['맛있어요 '],"
세일해서 저렴하게 구매해 먹었어요
맛도 좋아요
",['2020-11-03'],['0']
['[카스텔로] 덴마크 까망베르 치즈'],['치 '],"
맛있고 고소해요
",['2020-11-03'],['4']
