category,brand_name,product_name,review_title,review_detail,review_date,review_views
크림,퀘스크렘,블루치즈 크림치즈,['오묘한 블루치즈의 맛 '],"
크래커에 발라 먹으면 오묘한 맛에 서서히 중독됩니다
",['2020-08-30'],['7']
크림,퀘스크렘,블루치즈 크림치즈,['그닥 '],"
후기 좋아서 샀는데 전 별로네요
",['2020-08-29'],['5']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어뇨 '],"
불루치즈향이 그리 강하진 않은데 맛있어요
",['2020-08-28'],['3']
크림,퀘스크렘,블루치즈 크림치즈,['굳 '],"
호불호가 갈리네요 전 맛있어요ㅎ 단맛 좋아하심 안좋아하실꺼예요
",['2020-08-28'],['7']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요 '],"
베이글에 발라먹는데 풍미가 좋아요
",['2020-08-27'],['7']
크림,퀘스크렘,블루치즈 크림치즈,['콤콤 '],"
콤콤한 블루치즈향 좋은데 좀 짜요 
딱 덜 짜면 더 좋을거 같은데 아쉽네요
",['2020-08-26'],['8']
크림,퀘스크렘,블루치즈 크림치즈,['향 '],"
좋아요 콤콤 ♡
여기 저기 페어링 해봐야겠어요
",['2020-08-26'],['4']
크림,퀘스크렘,블루치즈 크림치즈,['꾸덕하고 맛있어요 '],"
빵에 아주 듬뿍씩 바를때 제맛이 나는거같아요! 행복한 맛~~
",['2020-08-26'],['1']
크림,퀘스크렘,블루치즈 크림치즈,['제입은 딱입니다~ '],"
아이들은 안 먹네요^^;;;
친정엄마도 맛뵈어드렸더니..안 맞으신다고^^;;
",['2020-08-26'],['10']
크림,퀘스크렘,블루치즈 크림치즈,['너무 맛있음 솔직히 '],"
너무 맛잇구...이거에 잼 얹어 먹어도 맛잇구....근데 블루치즈 향이 그렇게 강하진 않아요
",['2020-08-26'],['5']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요 '],"
나쁘지않아요 식빵에 발라먹었어요
",['2020-08-25'],['0']
크림,퀘스크렘,블루치즈 크림치즈,['좀 짜네요 '],"
하몽 살치촌 초리조랑 같이 먹으려고 주문했는데 좀 짜네요
",['2020-08-25'],['9']
크림,퀘스크렘,블루치즈 크림치즈,['좀 '],"
특이한 크림치즈를 찾다가 샀어요. 과일이랑 잘어울려요.
",['2020-08-24'],['4']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈 '],"
생각보다 블루치즈향이 꽤 진한데 저는 그냥 그래요
",['2020-08-24'],['25']
크림,퀘스크렘,블루치즈 크림치즈,['진해요 '],"
너무 진해서 먹기가;;
",['2020-08-23'],['5']
크림,퀘스크렘,블루치즈 크림치즈,['좋아요 '],"
향이 진해서 좋아요
",['2020-08-21'],['17']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요^^ '],"
크림치즈가 꾸덕하니 머끼 좋아요 맛있어요
",['2020-08-21'],['9']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요 '],"
맛있네요
종종 사 먹으렵니다
",['2020-08-21'],['12']
크림,퀘스크렘,블루치즈 크림치즈,['두번째 구매 '],"
블루크림치즈 너무 맛잇어서
두번째 구매에요
진한 맛이 진짜 좋아요
",['2020-08-20'],['22']
크림,퀘스크렘,블루치즈 크림치즈,['맛은 괜찮은데 '],"
근데 향에 비해 좀 짜요
크리미한 질감이 맘에 들어서 듬뿍 발라먹고 싶은데
좀 짜서 많이는 못바르겠어요..ㅎㅎ
",['2020-08-20'],['15']
크림,퀘스크렘,블루치즈 크림치즈,['향이진해요 '],"
가족들이 맛있대요~
",['2020-08-18'],['12']
크림,퀘스크렘,블루치즈 크림치즈,['기대중 '],"
아직 맛보지 못했는데 기대중입니당
",['2020-08-18'],['16']
크림,퀘스크렘,블루치즈 크림치즈,['좋아여 '],"
처음사봤는데 맛있어요
",['2020-08-18'],['6']
크림,퀘스크렘,블루치즈 크림치즈,['중독성 있는 맛 '],"
묘하게 중독성 있는 맛입니다. 블루치즈의 향이 강하지 않은 게 아쉬워요
",['2020-08-18'],['28']
크림,퀘스크렘,블루치즈 크림치즈,['호불호 '],"
남편은 인상써요 ㅎㅎㅎ
",['2020-08-17'],['24']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요!! '],"
블루치즈 좋아해서 시켜봤는데 맛있어요!
샐러드에도 넣어서 먹었는데 궁합 굿!
",['2020-08-17'],['6']
크림,퀘스크렘,블루치즈 크림치즈,['맛있음 '],"
원래도 블루치즈를 좋아하지만 이역시도 컨디션에 따라 소화 가불가능해서..
너무 농후한 건 농후한 만큼 먹기가 쉽지 않은데
적당히 마일드 하면서 적당히 강한 향
토스트에 얇게 발라도 존재감이 뚜렷합니다.
맛있어. 구매 잘했음.
",['2020-08-16'],['4']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈 '],"
컬리 통밀빵에발라먹어봄ㅎ 크림치즈맛이 많이날거라생각햇지만 블루치즈맛이강하다항~~ ㅋㅋ 식사로말고 난 와인안주로 크래커랑먹는걸로..
",['2020-08-16'],['11']
크림,퀘스크렘,블루치즈 크림치즈,['리조또에첨가 '],"
제가 원래 고르곤졸라같은 블루치즈를좋아하는데요.
이 크림치즈는 블루치즈 향이 강하지 않고
은은해 빵에 발라먹기딱이에요.
저는 리조또할때 1T넣었더니 너무맛있었어요~
",['2020-08-16'],['12']
크림,퀘스크렘,블루치즈 크림치즈,['크림치즈 '],"
원래 블루치즈 좋아하는데 바게트 빵에 발라먹으니까 진짜 꿀맛이네요
",['2020-08-15'],['13']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요 '],"
입맛에 딱 맞아요
최고의 치즈!
",['2020-08-15'],['2']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈 '],"
아웃백 블루치즈 좋아하면 다 좋아할 맛이에요 ㅋ
",['2020-08-15'],['3']
크림,퀘스크렘,블루치즈 크림치즈,['첫주문 '],"
평이 좋아 주문해 봤어용
",['2020-08-15'],['8']
크림,퀘스크렘,블루치즈 크림치즈,['후기 '],"
블루치즈 크림치즈는 첨이라 기대해요
",['2020-08-14'],['10']
크림,퀘스크렘,블루치즈 크림치즈,['굿 '],"
아직 먹기전이지만 맛날고같아요 ㅎㅎ
",['2020-08-14'],['7']
크림,퀘스크렘,블루치즈 크림치즈,['물건이다 '],"
이거 물건이에요 꼬릿한 맛 좋아하는 사람이면 무족권 사세요
",['2020-08-14'],['1']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈 맛있네요 '],"
아웃백에서 부시맨빵에 먹던 블루치즈 생각하고
주문했는데, 훨씬 진하고 빵에 발라먹기 좋아요~
기존에 먹던 일반 크림치즈들과 비교했을시 조금 짭짤합니다.
",['2020-08-13'],['14']
크림,퀘스크렘,블루치즈 크림치즈,['고소~ '],"
고소하고 맛나는데 쫌 작은양이 있슴~
한번 먹고 남음 냉장고에서 자꾸 잊어서ㅠ
",['2020-08-12'],['5']
크림,퀘스크렘,블루치즈 크림치즈,['생각보다 깔끔한 맛 '],"
블루치즈라 엄청 꼬릿할줄 알았는데 살짝 꼬릿하면서 뒷맛은 깔끔하네요ㅎㅎ 맛이 강하지 않아서 크림치즈처럼 많이 발라먹을수 있겠네요~ 만족합니다
",['2020-08-12'],['4']
크림,퀘스크렘,블루치즈 크림치즈,['맛있어요 '],"
원래 블루치즈 좋아해요 맛남
",['2020-08-09'],['18']
크림,퀘스크렘,블루치즈 크림치즈,['잘 먹고 있어요 '],"
크림치즈 치고 텍스춰가 살짝 하드하지만...잘 먹고 있어요
",['2020-08-08'],['4']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈 '],"
식빵에 발라먹기좋아요
",['2020-08-05'],['8']
크림,퀘스크렘,블루치즈 크림치즈,['진함 '],"
블루치즈 풍미 느껴지고 치즈 자체는 진한 크림제형.
",['2020-08-05'],['11']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈향이 일품 '],"
일반크림치즈에 블루치즈의 꼬릿한 향이.듬뿍나네요. 아주 맛있어요.
",['2020-08-03'],['9']
크림,퀘스크렘,블루치즈 크림치즈,['오. 너무 괜찮아요 '],"
블루치즈를 사실 어느 정도 양으로 어떻게 요리해먹을지 애매했었는데 간단히 먹기 너무 좋아요
",['2020-08-03'],['22']
크림,퀘스크렘,블루치즈 크림치즈,['마성의 꼬리함 '],"
베이글과 함께. 블루치즈 좋아해서 맛있었어요.
",['2020-08-02'],['13']
크림,퀘스크렘,블루치즈 크림치즈,['고소해요 '],"
살짝 블루치즈 꼬리꼬리한 냄새는 나지만
맛있어요 고소하고ㅎ
",['2020-08-01'],['2']
크림,퀘스크렘,블루치즈 크림치즈,['블루치즈중 '],"
역대 컬리 블루치즈 중 맛 3위에 안에들고 가성비로는 1위입니다. 재구매할래요
",['2020-07-31'],['16']
크림,퀘스크렘,블루치즈 크림치즈,['맛있네요 '],"
소화 가능할만큼 적당한 블루치즈향
",['2020-07-31'],['1']
크림,퀘스크렘,블루치즈 크림치즈,['오잉 '],"
후기보고 구매했는데 꾸덕한 블루치즈 크림치즈네요 완전 맛나요
",['2020-07-23'],['5']
