name,country,matching,texture,types,category,price,content,img
[프레지덩] 쁘띠 까망베르,프랑스,"빵, 비스킷, 견과류, 와인",소프트치즈,자연치즈,까망베르,"5,130원",오랫동안 보관이 가능한 숙성치즈,https://img-cf.kurly.com/shop/data/goods/155591204450l0.jpg
[베르기어] 포션 믹스,네덜란드,"크래커, 핑거 푸드",세미하드치즈,자연치즈,고다,"7,200원",하나씩 쏙 꺼내 먹는 4가지 간편 치즈,https://img-cf.kurly.com/shop/data/goods/1528104005658l0.jpg
[파르네세] 파르미지아노 레지아노 18개월,이탈리아,"파스타, 그라탕, 샐러드, 피자, 와인, 발사믹 식초",하드치즈,자연치즈,파르미지아노 레지아노,"8,900원",[컬리 Only] 18개월 숙성 치즈의 부드러운 깊은 맛,https://img-cf.kurly.com/shop/data/goods/1597383414438l0.jpg
[캔토렐] 블루 도베르뉴,프랑스,"샐러드, 크래커, 파스타, 스테이크",세미하드치즈,자연치즈,블루치즈,"7,500원",우아한 대리석 마블을 닮은 블루치즈,https://img-cf.kurly.com/shop/data/goods/1487737063792l0.jpg
[프리마돈나] 네덜란드 치즈 2종,네덜란드,"와인, 카나페, 맥주",하드치즈,자연치즈,프리마돈나,"10,000원",파마산 치즈와 그뤼에르 치즈가 섞인 네덜란드 치즈!,https://img-cf.kurly.com/shop/data/goods/1549865117151l0.jpg
[벨지오이오소] 부라타 치즈,이탈리아,"채소, 발사믹식초, 견과류",후레쉬치즈,자연치즈,부라타,"14,900원",버터처럼 부드러운 크림이 들어있는 생치즈,https://img-cf.kurly.com/shop/data/goods/1515396236580l0.jpg
[램노스] 스프레더블 리코타치즈,호주,"크래커,과일, 빵",후레쉬치즈,자연치즈,리코타,"5,400원",크래커 위에 발라 먹는 부드러운 치즈,https://img-cf.kurly.com/shop/data/goods/1566800642318l0.jpg
[카스텔로] 덴마크 까망베르 치즈,덴마크,"빵,와인,견과류,과일",소프트치즈,자연치즈,까망베르,"4,165원",전자레인지 용기로 간편하게 먹는,https://img-cf.kurly.com/shop/data/goods/1566383011754l0.jpg
[벨레트왈] 투르 드 파리 브리,프랑스,"견과류, 와인",소프트치즈,자연치즈,브리,"12,950원",보다 편안하게 즐길 수 있는 브리 치즈,https://img-cf.kurly.com/shop/data/goods/1493028272308l0.jpg
[일드프랑스] 미니 브리,프랑스,"비스킷,견과류,과일",소프트치즈,자연치즈,브리,"8,400원",한 입 크기로 부담없이 즐기는 미니 브리,https://img-cf.kurly.com/shop/data/goods/1528161805562l0.jpg
[벨지오이오소] 리코타 치즈,이탈리아,"빵, 샐러드, 과일",후레쉬치즈,자연치즈,리코타,"11,900원",담백하고 부드러운 치즈,https://img-cf.kurly.com/shop/data/goods/1584340058835l0.jpg
[사토리] 올드 월드 체다,미국,"빵, 잼, 와인, 맥주",하드치즈,자연치즈,체다,"11,500원",견고한 질감 속 고소한 풍미,https://img-cf.kurly.com/shop/data/goods/1563948515444l0.jpg
[만토바] 파르미지아노 레지아노,이탈리아,"와인,샐러드,피자",하드치즈,자연치즈,파르미지아노 레지아노,"6,900원",꾸덕한 텍스처에 깃든 산뜻한 풍미,https://img-cf.kurly.com/shop/data/goods/1584929308198l0.jpg
[포인트 레이스] 오리지널 블루,미국,"와인, 맥주, 채소",연성치즈,자연치즈,블루치즈,"13,500원",풀내음이 가득한 블루치즈,https://img-cf.kurly.com/shop/data/goods/157708476458l0.jpg
[프리코] 에담치즈,네덜란드,"와인, 맥주, 크래커, 빵, 샌드위치, 샐러드",세미하드치즈,자연치즈,에담,"6,600원","네덜란드의 부드러운 풍미, 지방을 제거한 우유로 만들어 담백한 치즈",https://img-cf.kurly.com/shop/data/goods/1452165115212l0.jpg
[zott] 모짜렐라 치즈,독일,"카프레제,파스타,피자",후레쉬치즈,자연치즈,모짜렐라,"4,600원",매일 먹기 좋은 신선하고 고소한 맛,https://img-cf.kurly.com/shop/data/goods/1526632903783l0.jpg
[캐시밸리] 미국 전통 치즈 5종,미국,"샌드위치,파스타,맥앤치즈",세미하드,자연치즈,체다,"4,900원",일상 속 가볍게 즐기는 치즈,https://img-cf.kurly.com/shop/data/goods/1564729594540l0.jpg
